Accession	STD Annot.	Curated Loc.
AT2G48120.1	pale cress protein (PAC)	plastid stroma
AT2G48120.2	pale cress protein (PAC)	plastid stroma
AT3G01060.1	lysine-tRNA ligase	plastid
AT3G01060.2	lysine-tRNA ligase	plastid
AT3G01060.3	lysine-tRNA ligase	plastid
AT3G01180.1	starch synthase 2	plastid stroma
AT3G01370.1	CRM family member 2	plastid stroma
AT3G01440.1	PsbQ-like 1	thylakoid-peripheral-lumenal-side
AT3G01480.1	cyclophilin 38	thylakoid-peripheral-lumenal-side
AT3G01480.2	cyclophilin 38	thylakoid-peripheral-lumenal-side
AT3G01500.1	carbonic anhydrase 1	plastid stroma
AT3G01500.2	carbonic anhydrase 1	plastid stroma
AT3G01500.3	carbonic anhydrase 1	plastid stroma
AT3G01510.1	like SEX4 1	plastid stroma
AT3G01920.1	DHBP synthase RibB-like alpha/beta domain-containing protein	plastid
AT3G02040.1	senescence-related gene 3	plastid
AT3G02060.1	DEAD/DEAH box helicase	plastid
AT3G02060.2	DEAD/DEAH box helicase	plastid
AT3G02150.1	plastid transcription factor 1	plastid
AT3G02150.2	plastid transcription factor 1	plastid
AT3G02450.1	cell division protein ftsH	envelope
AT3G02630.1	Plant stearoyl-acyl-carrier-protein desaturase family protein	plastid stroma
AT3G02660.1	Tyrosyl-tRNA synthetase%2C class Ib%2C bacterial/mitochondrial	mitochondria; plastid stroma
AT3G02730.1	thioredoxin F-type 1	plastid stroma; thylakoid-peripheral-stromal-side
AT3G02900.1	Low-density receptor-like protein	plastid
AT3G02900.2	Low-density receptor-like protein	plastid
AT3G03380.1	DegP protease 7	mitochondria; nucleus; plastid
AT3G03630.1	cysteine synthase 26	plastid
AT3G03710.1	polyribonucleotide nucleotidyltransferase	plastid stroma
AT3G03890.1	FMN binding protein	plastid stroma
AT3G03890.2	FMN binding protein	plastid stroma
AT3G04000.1	NAD(P)-binding Rossmann-fold superfamily protein	plastid
AT3G04260.1	plastid transcriptionally active 3	plastid
AT3G04340.1	FtsH extracellular protease family	plastid
AT3G04550.1	rubisco accumulation factor-like protein	plastid stroma
AT3G04650.1	FAD/NAD(P)-binding oxidoreductase family protein	plastid
AT3G04760.1	Pentatricopeptide repeat (PPR-like) superfamily protein	plastid nucleoid
AT3G04790.1	Ribose 5-phosphate isomerase%2C type A protein	plastid stroma; thylakoid-peripheral-stromal-side
AT3G04870.1	zeta-carotene desaturase	plastid
AT3G04870.2	zeta-carotene desaturase	plastid
AT3G04890.1	adenine phosphoribosyltransferase-like protein%2C putative (DUF2358)	plastid
AT3G04890.2	adenine phosphoribosyltransferase-like protein%2C putative (DUF2358)	plastid
AT3G05350.1	Metallopeptidase M24 family protein	plastid stroma
AT3G05625.1	Tetratricopeptide repeat (TPR)-like superfamily protein	plastid
AT3G05790.1	lon protease 4	mitochondria; plastid
AT3G06350.1	dehydroquinate dehydratase%2C putative / shikimate dehydrogenase	plastid stroma
AT3G06430.1	Tetratricopeptide repeat (TPR)-like superfamily protein	plastid
AT3G06510.1	Glycosyl hydrolase superfamily protein	envelope-outer
AT3G06510.2	Glycosyl hydrolase superfamily protein	envelope-outer
AT3G06730.1	Thioredoxin z	plastid
AT3G06960.1	pigment defective 320	envelope-outer
AT3G06960.2	pigment defective 320	envelope-outer
AT3G06980.1	DEA(D/H)-box RNA helicase family protein	plastid nucleoid
AT3G07430.1	YGGT family protein	plastid ribosome
AT3G07630.1	arogenate dehydratase 2	plastid stroma
AT3G07630.2	arogenate dehydratase 2	plastid stroma
AT3G07700.1	Protein kinase superfamily protein	plastoglobules
AT3G07700.2	Protein kinase superfamily protein	plastoglobules
AT3G07700.3	Protein kinase superfamily protein	plastoglobules
AT3G08010.1	RNA binding protein	plastid stroma
AT3G08630.1	alphavirus core family protein (DUF3411)	envelope-inner-integral
AT3G08640.1	alphavirus core family protein (DUF3411)	envelope-inner-integral
AT3G08740.1	elongation factor P (EF-P) family protein	plastid stroma
AT3G08920.1	Rhodanese/Cell cycle control phosphatase superfamily protein	thylakoid
AT3G08940.1	light harvesting complex photosystem II	thylakoid-integral
AT3G08940.2	light harvesting complex photosystem II	thylakoid-integral
AT3G09050.1	8-amino-7-oxononanoate synthase	thylakoid
AT3G09150.1	phytochromobilin:ferredoxin oxidoreductase%2C chloroplast / phytochromobilin synthase (HY2)	plastid stroma
AT3G09150.2	phytochromobilin:ferredoxin oxidoreductase%2C chloroplast / phytochromobilin synthase (HY2)	plastid stroma
AT3G09150.3	phytochromobilin:ferredoxin oxidoreductase%2C chloroplast / phytochromobilin synthase (HY2)	plastid stroma
AT3G09210.1	plastid transcriptionally active 13	plastid nucleoid
AT3G09250.1	Nuclear transport factor 2 (NTF2) family protein	plastid stroma
AT3G09250.2	Nuclear transport factor 2 (NTF2) family protein	plastid stroma
AT3G09490.1	Tetratricopeptide repeat (TPR)-like superfamily protein	plastid stroma
AT3G09580.1	FAD/NAD(P)-binding oxidoreductase family protein	plastid
AT3G09650.1	Tetratricopeptide repeat (TPR)-like superfamily protein	plastid nucleoid
AT3G10050.1	L-O-methylthreonine resistant 1	plastid stroma
AT3G10060.1	FKBP-like peptidyl-prolyl cis-trans isomerase family protein	thylakoid-peripheral-lumenal-side
AT3G10130.1	SOUL heme-binding family protein	plastoglobules
AT3G10230.1	lycopene cyclase	plastid
AT3G10230.2	lycopene cyclase	plastid
AT3G10270.1	DNA gyrase subunit B	mitochondria; plastid nucleoid
AT3G10350.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein	plastid
AT3G10350.2	P-loop containing nucleoside triphosphate hydrolases superfamily protein	plastid
AT3G10420.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein	plastid
AT3G10420.2	P-loop containing nucleoside triphosphate hydrolases superfamily protein	plastid
AT3G10620.1	nudix hydrolase homolog 26	plastid
AT3G10670.1	non-intrinsic ABC protein 7	plastid stroma
AT3G10690.1	DNA GYRASE A	mitochondria; plastid
AT3G10840.1	alpha/beta-Hydrolases superfamily protein	envelope
AT3G10940.1	dual specificity protein phosphatase (DsPTP1) family protein	plastid stroma
AT3G10970.1	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	plastid
AT3G10970.2	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	plastid
AT3G10970.3	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	plastid
AT3G11050.1	ferritin 2	plastid
AT3G11170.1	fatty acid desaturase 7	envelope-inner-integral
AT3G11560.1	LETM1-like protein	envelope
AT3G11560.2	LETM1-like protein	envelope
AT3G11560.3	LETM1-like protein	envelope
AT3G11560.4	LETM1-like protein	envelope
AT3G11630.1	Thioredoxin superfamily protein	plastid stroma; thylakoid-peripheral-stromal-side
AT3G11670.1	UDP-Glycosyltransferase superfamily protein	envelope-outer
AT3G11670.2	UDP-Glycosyltransferase superfamily protein	envelope-outer
AT3G11945.1	homogentisate prenyltransferase	envelope
AT3G11945.2	homogentisate prenyltransferase	envelope
AT3G11980.1	Jojoba acyl CoA reductase-related male sterility protein	plastid
AT3G12080.1	GTP-binding family protein	plastid
AT3G12080.2	GTP-binding family protein	plastid
AT3G12345.1	FKBP-type peptidyl-prolyl cis-trans isomerase	thylakoid
AT3G12600.1	nudix hydrolase homolog 16	plastid
AT3G12600.2	nudix hydrolase homolog 16	plastid
AT3G12700.1	Eukaryotic aspartyl protease family protein	plastid
AT3G12700.2	Eukaryotic aspartyl protease family protein	plastid
AT3G12780.1	phosphoglycerate kinase 1	plastid stroma
AT3G12930.1	Lojap-related protein	plastid stroma
AT3G13070.1	CBS domain-containing protein / transporter associated domain-containing protein	envelope
AT3G13120.1	Ribosomal protein S10p/S20e family protein	plastid ribosome
AT3G13120.2	Ribosomal protein S10p/S20e family protein	plastid ribosome
AT3G13180.1	NOL1/NOP2/sun family protein / antitermination NusB domain-containing protein	plastid
AT3G13470.1	TCP-1/cpn60 chaperonin family protein	plastid stroma
AT3G13490.1	Lysyl-tRNA synthetase%2C class II	mitochondria; plastid stroma
AT3G13740.1	Ribonuclease III family protein	plastid
AT3G13740.2	Ribonuclease III family protein	plastid
AT3G14050.1	RELA/SPOT homolog 2	plastid
AT3G14110.1	Tetratricopeptide repeat (TPR)-like superfamily protein	envelope-inner; thylakoid
AT3G14110.2	Tetratricopeptide repeat (TPR)-like superfamily protein	envelope-inner; thylakoid
AT3G14110.3	Tetratricopeptide repeat (TPR)-like superfamily protein	envelope-inner; thylakoid
AT3G14390.1	Pyridoxal-dependent decarboxylase family protein	plastid
AT3G14420.1	Aldolase-type TIM barrel family protein	peroxisome; plastid
AT3G14420.2	Aldolase-type TIM barrel family protein	peroxisome; plastid
AT3G14420.3	Aldolase-type TIM barrel family protein	peroxisome; plastid
AT3G14420.4	Aldolase-type TIM barrel family protein	peroxisome; plastid
AT3G14420.5	Aldolase-type TIM barrel family protein	peroxisome; plastid
AT3G14420.6	Aldolase-type TIM barrel family protein	peroxisome; plastid
AT3G14440.1	nine-cis-epoxycarotenoid dioxygenase 3	plastid
AT3G14900.1	hypothetical protein	plastid stroma
AT3G14930.1	Uroporphyrinogen decarboxylase	plastid stroma
AT3G14930.2	Uroporphyrinogen decarboxylase	plastid stroma
AT3G14930.3	Uroporphyrinogen decarboxylase	plastid stroma
AT3G15000.1	cobalt ion binding protein	mitochondria; plastid
AT3G15095.1	Serine/Threonine-kinase pakA-like protein	plastid
AT3G15095.2	Serine/Threonine-kinase pakA-like protein	plastid
AT3G15095.3	Serine/Threonine-kinase pakA-like protein	plastid
AT3G15110.1	transmembrane protein	plastid
AT3G15190.1	chloroplast 30S ribosomal protein S20	plastid ribosome
AT3G15360.1	thioredoxin M-type 4	plastid stroma; thylakoid-peripheral-stromal-side
AT3G15520.1	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein	thylakoid-peripheral-lumenal-side
AT3G15690.1	Single hybrid motif superfamily protein	envelope-inner-peripheral-stromal-side
AT3G15690.2	Single hybrid motif superfamily protein	envelope-inner-peripheral-stromal-side
AT3G15840.1	post-illumination chlorophyll fluorescence increase	plastid
AT3G15840.2	post-illumination chlorophyll fluorescence increase	plastid
AT3G15840.3	post-illumination chlorophyll fluorescence increase	plastid
AT3G15840.4	post-illumination chlorophyll fluorescence increase	plastid
AT3G15840.5	post-illumination chlorophyll fluorescence increase	plastid
AT3G15850.1	fatty acid desaturase 5	plastid
AT3G15900.1	homoserine O-acetyltransferase	plastid
AT3G16000.1	MAR binding filament-like protein 1	plastid nucleoid
AT3G16140.1	photosystem I subunit H-1	thylakoid-integral
AT3G16250.1	NDH-dependent cyclic electron flow 1	thylakoid
AT3G16290.1	AAA-type ATPase family protein	plastid
AT3G16480.1	mitochondrial processing peptidase alpha subunit	mitochondria; plastid
AT3G16950.1	lipoamide dehydrogenase 1	plastid
AT3G16950.2	lipoamide dehydrogenase 1	plastid
AT3G17040.1	high chlorophyll fluorescent 107	plastid stroma
AT3G17040.2	high chlorophyll fluorescent 107	plastid stroma
AT3G17170.1	Translation elongation factor EF1B/ribosomal protein S6 family protein	plastid
AT3G17470.1	Ca2+-activated RelA/spot-like protein	plastid
AT3G17800.1	alanine-tRNA ligase%2C putative (DUF760)	plastid
AT3G17800.2	alanine-tRNA ligase%2C putative (DUF760)	plastid
AT3G17810.1	pyrimidine 1	plastid
AT3G17830.1	Molecular chaperone Hsp40/DnaJ family protein	plastid
AT3G17930.1	transmembrane protein	thylakoid
AT3G17970.1	translocon at the outer membrane of chloroplasts 64-III	envelope-outer
AT3G18110.1	Pentatricopeptide repeat (PPR) superfamily protein	plastid nucleoid
AT3G18270.1	cytochrome P450%2C family 77%2C subfamily A%2C polypeptide 5 pseudogene	plastid stroma
AT3G18390.1	CRS1 / YhbY (CRM) domain-containing protein	plastid nucleoid
AT3G18420.1	Protein prenylyltransferase superfamily protein	envelope
AT3G18680.1	Amino acid kinase family protein	plastid stroma
AT3G18870.1	Mitochondrial transcription termination factor family protein	plastid
AT3G18890.1	NAD(P)-binding Rossmann-fold superfamily protein	envelope-inner-peripheral-stromal-side; thylakoid
AT3G19160.1	ATP/ADP isopentenyltransferase	plastid
AT3G19170.1	presequence protease 1	mitochondria; plastid stroma
AT3G19170.2	presequence protease 1	mitochondria; plastid stroma
AT3G19180.1	plastid division protein	envelope-inner
AT3G19180.2	plastid division protein	envelope-inner
AT3G19220.1	protein disulfide isomerase	thylakoid
AT3G19480.1	D-3-phosphoglycerate dehydrogenase	plastid stroma
AT3G19490.1	sodium:hydrogen antiporter 1	envelope-inner
AT3G19720.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein	envelope-outer; peroxisome
AT3G19720.2	P-loop containing nucleoside triphosphate hydrolases superfamily protein	envelope-outer; peroxisome
AT3G19720.3	P-loop containing nucleoside triphosphate hydrolases superfamily protein	envelope-outer; peroxisome
AT3G19810.1	BTB/POZ domain protein%2C putative (DUF177)	plastid
AT3G19900.1	hypothetical protein	plastid stroma
AT3G20230.1	Ribosomal L18p/L5e family protein	plastid ribosome
AT3G20320.1	trigalactosyldiacylglycerol2	envelope-inner
AT3G20320.2	trigalactosyldiacylglycerol2	envelope-inner
AT3G20330.1	PYRIMIDINE B	plastid stroma
AT3G20390.1	endoribonuclease L-PSP family protein	plastid stroma; thylakoid-peripheral-stromal-side
AT3G20440.1	Alpha amylase family protein	plastid
AT3G20440.2	Alpha amylase family protein	plastid
AT3G20440.3	Alpha amylase family protein	plastid
AT3G20540.2	polymerase gamma 1	plastid
AT3G20680.1	plant/protein (DUF1995)	plastid
AT3G20930.1	RNA-binding (RRM/RBD/RNP motifs) family protein	plastid
AT3G21055.1	photosystem II subunit T	thylakoid-integral
AT3G21110.1	purin 7	plastid stroma
AT3G21110.2	purin 7	plastid stroma
AT3G21140.1	Pyridoxamine 5'-phosphate oxidase family protein	plastid
AT3G21200.1	proton gradient regulation 7	thylakoid-peripheral-stromal-side
AT3G21580.1	cobalt ion transmembrane transporter	envelope-inner
AT3G21580.2	cobalt ion transmembrane transporter 	envelope-inner
AT3G22690.1	LOW protein: PPR containing-like protein	plastid
AT3G22840.1	Chlorophyll A-B binding family protein	thylakoid-integral
AT3G22890.1	ATP sulfurylase 1	plastid stroma
AT3G22960.1	Pyruvate kinase family protein	plastid stroma
AT3G23070.1	CRM family member 3A	mitochondria; plastid stroma
AT3G23400.1	Plastid-lipid associated protein PAP / fibrillin family protein	plastoglobules
AT3G23700.1	Nucleic acid-binding proteins superfamily	plastid stroma
AT3G23710.1	Tic22-like family protein	plastid
AT3G23790.1	AMP-dependent synthetase and ligase family protein	plastid
AT3G23920.1	beta-amylase 1	plastid
AT3G23940.1	dehydratase family	plastid stroma
AT3G23940.2	dehydratase family	plastid stroma
AT3G24190.1	Protein kinase superfamily protein	plastoglobules
AT3G24220.1	nine-cis-epoxycarotenoid dioxygenase 6	plastid
AT3G24430.1	ATP binding protein	plastid stroma
AT3G24506.1	hypothetical protein	plastid stroma
AT3G24590.1	plastidic type i signal peptidase 1	envelope; thylakoid-peripheral-lumenal-side
AT3G25480.1	Rhodanese/Cell cycle control phosphatase superfamily protein	thylakoid
AT3G25660.1	Amidase family protein	mitochondria; plastid stroma
AT3G25680.1	SLH domain protein	envelope
AT3G25690.1	Hydroxyproline-rich glycoprotein family protein	envelope-outer
AT3G25690.2	Hydroxyproline-rich glycoprotein family protein	envelope-outer
AT3G25690.3	Hydroxyproline-rich glycoprotein family protein	envelope-outer
AT3G25740.1	methionine aminopeptidase 1C	mitochondria; plastid
AT3G25760.1	allene oxide cyclase 1	plastid
AT3G25770.1	allene oxide cyclase 2	thylakoid-peripheral-stromal-side
AT3G25780.1	allene oxide cyclase 3	plastid
AT3G25860.1	2-oxoacid dehydrogenases acyltransferase family protein	plastid
AT3G25920.1	ribosomal protein L15	plastid ribosome
AT3G26060.1	Thioredoxin superfamily protein	plastid
AT3G26060.2	Thioredoxin superfamily protein	plastid
AT3G26070.1	Plastid-lipid associated protein PAP / fibrillin family protein	thylakoid-peripheral-stromal-side
AT3G26080.1	plastid-lipid associated protein PAP / fibrillin family protein	thylakoid-peripheral-stromal-side
AT3G26570.1	phosphate transporter 2%3B1	envelope-inner-integral
AT3G26570.2	phosphate transporter 2%3B1	envelope-inner-integral
AT3G26580.1	Tetratricopeptide repeat (TPR)-like superfamily protein	plastid stroma; thylakoid
AT3G26650.1	glyceraldehyde 3-phosphate dehydrogenase A subunit	plastid stroma
AT3G26690.1	nudix hydrolase homolog 13	plastid
AT3G26690.2	nudix hydrolase homolog 13	plastid
AT3G26710.1	cofactor assembly of complex C	thylakoid-integral
AT3G26740.1	CCR-like protein	plastid
AT3G26840.1	Esterase/lipase/thioesterase family protein	plastoglobules
AT3G26900.1	shikimate kinase like 1	plastid stroma
AT3G26900.2	shikimate kinase like 1	plastid stroma
AT3G26900.3	shikimate kinase like 1	plastid stroma
AT3G27110.1	Peptidase family M48 family protein	plastoglobules
AT3G27110.2	Peptidase family M48 family protein	plastoglobules
AT3G27160.1	Ribosomal protein S21 family protein	plastid ribosome
AT3G27190.1	uridine kinase-like 2	plastid
AT3G27690.1	photosystem II light harvesting complex protein 2.3	thylakoid-integral
AT3G27740.1	carbamoyl phosphate synthetase A	plastid stroma
AT3G27740.2	carbamoyl phosphate synthetase A	plastid stroma
AT3G27750.1	PPR containing protein	plastid
AT3G27830.1	ribosomal protein L12-A	plastid ribosome
AT3G27840.1	ribosomal protein L12-B	plastid
AT3G27850.1	ribosomal protein L12-C	plastid ribosome
AT3G27925.1	DegP protease 1	thylakoid-peripheral-lumenal-side
AT3G28220.1	TRAF-like family protein	plastid
AT3G28460.1	methyltransferase	plastid
AT3G29185.1	glutamate NMDA receptor subunit epsilon-1%2C putative (DUF3598)	plastid
AT3G29185.2	glutamate NMDA receptor subunit epsilon-1%2C putative (DUF3598)	plastid
AT3G29200.1	chorismate mutase 1	plastid stroma
AT3G29240.1	PPR containing protein (DUF179)	plastid stroma
AT3G29240.2	PPR containing protein (DUF179)	plastid stroma
AT3G29320.1	Glycosyl transferase%2C family 35	plastid stroma
AT3G43520.1	Transmembrane proteins 14C	plastid
AT3G43540.1	initiation factor 4F subunit (DUF1350)	plastoglobules
AT3G43540.2	initiation factor 4F subunit (DUF1350)	plastoglobules
AT3G44160.1	Outer membrane OMP85 family protein	envelope-outer
AT3G44620.1	protein-tyrosine phosphatase	plastid stroma
AT3G44620.2	protein-tyrosine phosphatase	plastid stroma
AT3G44720.1	arogenate dehydratase 4	plastid stroma
AT3G44880.1	Pheophorbide a oxygenase family protein with Rieske 2Fe-2S domain-containing protein	thylakoid
AT3G44890.1	ribosomal protein L9	plastid ribosome
AT3G45140.1	lipoxygenase 2	plastid stroma
AT3G46100.1	Histidyl-tRNA synthetase 1	mitochondria; plastid stroma
AT3G46610.1	Pentatricopeptide repeat (PPR-like) superfamily protein	plastid
AT3G46630.1	DCL protein (DUF3223)	plastid
AT3G46740.1	translocon at the outer envelope membrane of chloroplasts 75-III	envelope-outer
AT3G46780.1	plastid transcriptionally active 16	thylakoid
AT3G46790.1	Tetratricopeptide repeat (TPR)-like superfamily protein	plastid stroma
AT3G46980.1	phosphate transporter 4%3B3	plastid
AT3G46980.2	phosphate transporter 4%3B3	plastid
AT3G46980.3	phosphate transporter 4%3B3	plastid
AT3G47060.1	FTSH protease 7	envelope
AT3G47070.1	thylakoid soluble phosphoprotein	thylakoid-peripheral-stromal-side
AT3G47390.1	cytidine/deoxycytidylate deaminase family protein	plastid stroma
AT3G47390.2	cytidine/deoxycytidylate deaminase family protein	plastid stroma
AT3G47450.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein	plastid stroma
AT3G47450.2	P-loop containing nucleoside triphosphate hydrolases superfamily protein	plastid stroma
AT3G47470.1	light-harvesting chlorophyll-protein complex I subunit A4	thylakoid-integral
AT3G47490.1	HNH endonuclease	plastid
AT3G47490.2	HNH endonuclease	plastid
AT3G47490.3	HNH endonuclease	plastid
AT3G47520.1	malate dehydrogenase	plastid stroma
AT3G47650.1	DnaJ/Hsp40 cysteine-rich domain superfamily protein	plastid stroma
AT3G47860.1	chloroplastic lipocalin	thylakoid-peripheral-lumenal-side
AT3G48110.1	glycine-tRNA ligase	mitochondria; plastid stroma
AT3G48420.1	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	plastid stroma
AT3G48500.1	Nucleic acid-binding%2C OB-fold-like protein	plastid nucleoid
AT3G48500.2	Nucleic acid-binding%2C OB-fold-like protein	plastid nucleoid
AT3G48560.1	chlorsulfuron/imidazolinone resistant 1	plastid stroma
AT3G48620.1	Outer membrane OMP85 family protein	envelope-outer
AT3G48730.1	glutamate-1-semialdehyde 2%2C1-aminomutase 2	plastid stroma
AT3G48870.1	Clp ATPase	plastid stroma
AT3G48870.2	Clp ATPase	plastid stroma
AT3G49140.1	Pentatricopeptide repeat (PPR) superfamily protein	plastid
AT3G49560.1	Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein	envelope-inner-integral; mitochondria
AT3G49680.1	branched-chain aminotransferase 3	plastid stroma
AT3G49680.2	branched-chain aminotransferase 3	plastid stroma
AT3G50380.1	vacuolar protein sorting-associated protein%2C putative (DUF1162)	plastid
AT3G50820.1	photosystem II subunit O-2	thylakoid-peripheral-lumenal-side
AT3G51140.1	DnaJ (DUF3353)	envelope
AT3G51510.1	transmembrane protein	thylakoid
AT3G51820.1	UbiA prenyltransferase family protein	thylakoid
AT3G51870.1	Mitochondrial substrate carrier family protein	envelope
AT3G52150.1	RNA-binding (RRM/RBD/RNP motifs) family protein	plastid ribosome
AT3G52150.2	RNA-binding (RRM/RBD/RNP motifs) family protein	plastid ribosome
AT3G52155.1	Phosphoglycerate mutase family protein	plastid
AT3G52170.1	DNA binding protein	plastid nucleoid
AT3G52170.2	DNA binding protein	plastid nucleoid
AT3G52180.1	dual specificity protein phosphatase (DsPTP1) family protein	plastid stroma
AT3G52180.2	dual specificity protein phosphatase (DsPTP1) family protein	plastid stroma
AT3G52230.1	hypothetical protein	envelope-outer
AT3G52380.1	chloroplast RNA-binding protein 33	plastid stroma
AT3G52420.1	outer envelope membrane protein 7	envelope-outer
AT3G52750.1	Tubulin/FtsZ family protein	plastid stroma
AT3G52960.1	Thioredoxin superfamily protein	plastid stroma
AT3G53130.1	Cytochrome P450 superfamily protein	plastid
AT3G53170.1	LOW protein: PPR containing protein	plastid
AT3G53460.1	chloroplast RNA-binding protein 29	plastid stroma
AT3G53460.2	chloroplast RNA-binding protein 29	plastid stroma
AT3G53460.3	chloroplast RNA-binding protein 29	plastid stroma
AT3G53460.4	chloroplast RNA-binding protein 29	plastid stroma
AT3G53470.1	2%2C3-bisphosphoglycerate-independent phosphoglycerate mutase	thylakoid
AT3G53470.2	2%2C3-bisphosphoglycerate-independent phosphoglycerate mutase	thylakoid
AT3G53560.1	Tetratricopeptide repeat (TPR)-like superfamily protein	plastid
AT3G53580.1	diaminopimelate epimerase family protein	plastid stroma
AT3G53700.1	Pentatricopeptide repeat (PPR) superfamily protein	plastid
AT3G53900.1	uracil phosphoribosyltransferase	plastid stroma
AT3G53900.2	uracil phosphoribosyltransferase	plastid stroma
AT3G53920.1	RNApolymerase sigma-subunit C	plastid
AT3G54050.1	high cyclic electron flow 1	plastid stroma
AT3G54050.2	high cyclic electron flow 1	plastid stroma
AT3G54090.1	fructokinase-like 1	cytosol; nucleus; plastid nucleoid
AT3G54210.1	Ribosomal protein L17 family protein	plastid ribosome
AT3G54640.1	tryptophan synthase alpha chain	plastid stroma
AT3G54660.1	glutathione reductase	plastid stroma
AT3G54890.1	chlorophyll a-b binding protein 6	thylakoid-integral
AT3G54890.2	chlorophyll a-b binding protein 6	thylakoid-integral
AT3G54890.3	chlorophyll a-b binding protein 6	thylakoid-integral
AT3G54890.4	chlorophyll a-b binding protein 6	thylakoid-integral
AT3G54900.1	CAX interacting protein 1	plastid
AT3G54960.1	PDI-like 1-3	plastid
AT3G54960.2	PDI-like 1-3	plastid
AT3G55010.1	phosphoribosylformylglycinamidine cyclo-ligase%2C chloroplast / phosphoribosyl-aminoimidazole synthetase / AIR synthase (PUR5)	plastid stroma
AT3G55010.2	phosphoribosylformylglycinamidine cyclo-ligase%2C chloroplast / phosphoribosyl-aminoimidazole synthetase / AIR synthase (PUR5)	plastid stroma
AT3G55040.1	glutathione transferase lambda 2	plastid stroma
AT3G55250.1	calcium homeostasis regulator	thylakoid-peripheral-stromal-side
AT3G55330.1	PsbP-like protein 1	thylakoid-peripheral-lumenal-side
AT3G55400.1	methionyl-tRNA synthetase / methionine-tRNA ligase / MetRS (cpMetRS)	mitochondria; plastid stroma
AT3G55400.2	methionyl-tRNA synthetase / methionine-tRNA ligase / MetRS (cpMetRS)	mitochondria; plastid stroma
AT3G55760.1	hypothetical protein	plastid stroma
AT3G55760.2	hypothetical protein	plastid stroma
AT3G55760.3	hypothetical protein	plastid stroma
AT3G55800.1	sedoheptulose-bisphosphatase	plastid stroma
AT3G56010.1	transmembrane protein	plastid
AT3G56040.1	UDP-glucose pyrophosphorylase 3	plastid
AT3G56090.1	ferritin 3	plastid stroma
AT3G56130.1	biotin/lipoyl attachment domain-containing protein	plastid
AT3G56130.2	biotin/lipoyl attachment domain-containing protein	plastid
AT3G56130.3	biotin/lipoyl attachment domain-containing protein	plastid
AT3G56130.4	biotin/lipoyl attachment domain-containing protein	plastid
AT3G56140.1	DUF399 family protein%2C putative (DUF399 and DUF3411)	envelope-inner-integral
AT3G56160.1	Sodium Bile acid symporter family	envelope-inner-integral
AT3G56330.1	N2%2CN2-dimethylguanosine tRNA methyltransferase	plastid
AT3G56650.1	thylakoid lumenal protein (Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein)	thylakoid-peripheral-lumenal-side
AT3G56690.1	Cam interacting protein 111	plastid
AT3G56710.1	sigma factor binding protein 1	plastid stroma
AT3G56830.1	YCF20-like protein (DUF565)	plastid
AT3G56830.2	YCF20-like protein (DUF565)	plastid
AT3G56830.3	YCF20-like protein (DUF565)	plastid
AT3G56910.1	plastid-specific 50S ribosomal protein 5	plastid ribosome
AT3G56940.1	dicarboxylate diiron protein%2C putative (Crd1)	envelope-inner-peripheral-stromal-side; thylakoid-peripheral-stromal-side
AT3G56940.2	dicarboxylate diiron protein%2C putative (Crd1)	envelope-inner-peripheral-stromal-side; thylakoid-peripheral-stromal-side
AT3G57050.1	cystathionine beta-lyase	plastid
AT3G57050.2	cystathionine beta-lyase	plastid
AT3G57050.3	cystathionine beta-lyase	plastid
AT3G57090.1	Tetratricopeptide repeat (TPR)-like superfamily protein	mitochondria; peroxisome; plastid
AT3G57180.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein	plastid
AT3G57190.1	peptide chain release factor	plastid stroma
AT3G57280.1	Transmembrane proteins 14C	envelope
AT3G57430.1	Tetratricopeptide repeat (TPR)-like superfamily protein	plastid
AT3G57560.1	N-acetyl-l-glutamate kinase	plastid stroma
AT3G57610.1	adenylosuccinate synthase	plastid stroma
AT3G57680.1	Peptidase S41 family protein	thylakoid-peripheral-lumenal-side
AT3G58010.1	plastoglobulin 34kD	plastoglobules
AT3G58140.1	phenylalanyl-tRNA synthetase class IIc family protein	mitochondria; plastid stroma
AT3G58610.1	ketol-acid reductoisomerase	plastid stroma
AT3G58610.2	ketol-acid reductoisomerase	plastid stroma
AT3G58610.3	ketol-acid reductoisomerase	plastid stroma
AT3G58830.1	haloacid dehalogenase (HAD) superfamily protein	plastid
AT3G58990.1	isopropylmalate isomerase 1	plastid stroma
AT3G59040.1	Tetratricopeptide repeat (TPR)-like superfamily protein	plastid nucleoid
AT3G59040.2	Tetratricopeptide repeat (TPR)-like superfamily protein	plastid nucleoid
AT3G59300.1	Pentatricopeptide repeat (PPR) superfamily protein	plastid
