"Protein numbers (Bouchnak et al., Mol Cell Proteomics 2019) "	TAIR AGI	"Simplified location AT_CHLORO (Ferro et al., 2010)"	"Simplified location (Bouchnak et al., Mol Cell Proteomics 2019) "
384	AT4G27680	nd	ENV-OTH
385	AT1G70480	nd	ENV
386	AT4G32250	ENV	ENV
387	AT2G32290	ENV	ENV
388	AT4G29130	ENV	ENV-OTH
389	AT2G27490	ENV	ENV
390	AT3G63170	ENV	ENV
391	AT3G63520	ENV	ENV-OTH
392	AT4G15440	nd	ENV-OTH
393	AT1G26340	ENV	ENV
394	AT2G40690	ENV	ENV
395	AT1G77590	ENV	ENV
396	AT5G16010	ENV	ENV-OTH
397	AT4G13550	nd	ENV-OTH
398	AT3G19720	ENV	ENV
399	AT5G51020	ENV	ENV
400	AT3G57090	ENV	ENV
401	AT2G16070	ENV	ENV
402	AT4G27990	ENV	ENV
403	AT3G07430	ENV	ENV
404	AT3G25690	ENV	ENV-OTH
405	AT2G28900	ENV	ENV
406	AT5G55510	ENV	ENV
407	AT3G49560	ENV	ENV
408	AT5G24650	ENV	ENV
409	AT4G26670	ENV	ENV
410	AT1G02280	ENV	ENV
411	AT5G05000	ENV	ENV
412	AT3G17970	ENV	ENV
413	AT3G46740	ENV	ENV
414	AT5G19620	ENV	ENV
415	AT5G20300	nd	ENV
416	AT3G16620	nd	ENV
417	AT2G16640	ENV	ENV
418	AT4G02510	ENV	ENV
419	AT1G63900	nd	ENV
421	AT3G06510	ENV	ENV
422	AT2G01320	ENV	ENV
423	AT1G76405	ENV	ENV
424	AT1G20816	ENV	ENV
425	AT2G17695	ENV	ENV
426	AT1G45170	nd	ENV-OTH
427	AT3G52230	ENV	ENV-OTH
428	AT5G42960	ENV	ENV
429	AT2G43950	ENV	ENV
430	AT2G44640	ENV	ENV
431	AT3G06960	ENV	ENV
432	AT3G63160	ENV	ENV-OTH
433	AT2G34585	ENV	ENV-OTH
434	AT5G64816	ENV	ENV
435	AT3G03870	nd	ENV
			
436	AT1G11660	nd	ENV?
437	AT3G28220	ENV	ENV?
438	AT2G36810	nd	ENV?
439	AT1G52030	nd	ENV?
440	AT2G39310	nd	ENV?
441	AT2G39330	nd	ENV?
442	AT1G16540	nd	ENV?
443	AT3G51420	nd	ENV?
444	AT3G14210	nd	ENV?
445	AT5G10050	nd	ENV?
446	AT1G17720	nd	ENV?
447	AT4G16580	nd	ENV?
448	AT1G64900	nd	ENV?
449	AT5G63030	nd	ENV?
450	AT1G35720	STR	ENV?
451	AT1G64850	ENV	ENV?
452	AT5G53540	nd	ENV?
453	AT5G64970	nd	ENV?
