Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	(EC 2.3.1.129)
Acylglycerol transacylase	Acylglycerol transacylase	
Adenine phosphoribosyltransferase	Adenine phosphoribosyltransferase	(EC 2.4.2.7)
Adenosine kinase	Adenosine kinase	(EC 2.7.1.20)
Adenosine nucleosidase	Adenosine nucleosidase	(EC 3.2.2.7)
Adenosylhomocysteinase	Adenosylhomocysteinase	(EC 3.3.1.1)
Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	(EC 2.6.1.62)
Adenylate kinase	Adenylate kinase	(EC 2.7.4.3)
Adenylosuccinate lyase	Adenylosuccinate lyase	(EC 4.3.2.2)
Adenylosuccinate synthetase	Adenylosuccinate synthetase	(EC 6.3.4.4)
Adenylyl-sulfate reductase	Adenylyl-sulfate reductase [glutathione]	(EC 1.8.4.9)
Adenylylsulfate kinase	Adenylylsulfate kinase	(EC 2.7.1.25)
Adrenodoxin reductase	Adrenodoxin reductase	(EC 1.18.1.6)
Adrenodoxin	"Adrenodoxin, mitochondrial ferredoxin"	
Alanine transaminase	Alanine transaminase	(EC 2.6.1.2)
Alcohol dehydrogenase	Alcohol dehydrogenase	(EC 1.1.1.1)
Aldehyde dehydrogenase	Aldehyde dehydrogenase	(EC 1.2.1.3)
Aldose 1-epimerase	Aldose 1-epimerase	(EC 5.1.3.3)
Aliphatic glucosinolate 2-oxoglutarate-dependent dioxygenase	Aliphatic glucosinolate 2-oxoglutarate-dependent dioxygenase (hydroxylation) (no EC)	
Aliphatic glucosinolate 2-oxoglutarate-dependent dioxygenase	Aliphatic glucosinolate 2-oxoglutarate-dependent dioxygenase (no EC)	
"Alpha,alpha-trehalose-phosphate synthase"	"Alpha,alpha-trehalose-phosphate synthase [UDP-forming]"	(EC 2.4.1.15)
Alpha-amylase	Alpha-amylase	(EC 3.2.1.1)
Alpha-farnesene synthase	Alpha-farnesene synthase	(EC 4.2.3.46)
Alpha-galactosidase	Alpha-galactosidase	(EC 3.2.1.22)
Alpha-glucosidase	Alpha-glucosidase	(EC 3.2.1.20)
"Alternative oxidase, ubiquinol oxidase"	"Alternative oxidase, ubiquinol oxidase"	(EC 1.10.3.11)
Amidophosphoribosyltransferase	Amidophosphoribosyltransferase	(EC 2.4.2.14)
Aminodeoxychorismate lyase	Aminodeoxychorismate lyase	(EC 4.1.3.38)
Aminomethyltransferase	Aminomethyltransferase (glycine cleavage system T protein)	(EC 2.1.2.10)
Anthranilate phosphoribosyltransferase	Anthranilate phosphoribosyltransferase	(EC 2.4.2.18)
Anthranilate synthase	"Anthranilate synthase, amidotransferase component"	(EC 4.1.3.27)
Anthranilate synthase	"Anthranilate synthase, aminase component"	(EC 4.1.3.27)
"Apyrase, ATP-diphosphatase"	"Apyrase, ATP-diphosphatase"	(EC 3.6.1.5)
Arabinose 5-phosphate isomerase	Arabinose 5-phosphate isomerase	(EC 5.3.1.13)
Arginase	Arginase	(EC 3.5.3.1)
Argininosuccinate lyase	Argininosuccinate lyase	(EC 4.3.2.1)
Argininosuccinate synthase	Argininosuccinate synthase	(EC 6.3.4.5)
Arogenate dehydratase	Arogenate dehydratase	(EC 4.2.1.91)
Arogenate dehydrogenase	Arogenate dehydrogenase	(EC 1.3.1.78)
Asparagine synthetase	Asparagine synthetase [glutamine-hydrolyzing]	(EC 6.3.5.4)
Aspartate aminotransferase	Aspartate aminotransferase	(EC 2.6.1.1)
Aspartate carbamoyltransferase	Aspartate carbamoyltransferase	(EC 2.1.3.2)
Aspartate-semialdehyde dehydrogenase	Aspartate-semialdehyde dehydrogenase	(EC 1.2.1.11)
